用户名,评论时间,评论内容,评分,赞同数
看電影的人,2022-07-29 11:05:42,笑不出来.gif,20,7455
绝望的生鱼片,2022-07-29 12:14:20,我非常讨厌往喜剧片里塞煽情的部分，导致我从后半段就几乎笑不出来了，煽情塞进喜剧片里适配度很差,30,16304
Céline,2022-07-29 12:09:10,对我六岁表弟来说刚刚好。,20,6192
不看月亮🌙,2022-07-29 11:20:08,煽情得有些犯规了。另外，刚子是美团派过去的吧？,30,11089
不留痕迹,2022-07-29 11:06:17,好消息是沈腾贡献了最富层次的一次表演，坏消息是成片的质量到底辜负了他。即便他以一己之力将小品升华成电影，但片中呈现的一切都是二手的，成了一件昂贵而蹩脚的A货。,30,7445
Rainbow,2022-07-29 11:10:09,在丧成狗的日子里能用一张电影片开怀大笑俩小时，你就说值不值吧！,50,5377
离岸游鱼,2022-07-29 11:05:04,真不理解影院里的人怎么笑出来的，浪费两个小时,20,5353
薄荷叶🍃,2022-07-29 11:06:47,科幻迷们是我最不能理解的群体。原来喜欢说科幻部分不严谨，我问他们有什么bug呢，他们又说不出来。于是改成了科幻部分不硬核。哦合着国外科幻可以有软科幻硬科幻，国内就只有硬核科幻和烂科幻？,50,3868
Daydreamer,2022-07-29 20:32:56,煽情真的太尬了。。我只想去看一部搞笑片,30,5209
Bei,2022-07-29 11:07:35,太他妈的浪漫了。,40,8031
核仁烤排骨,2022-07-29 12:06:23,看之前确实让人很难相信，一部沈腾马丽主演的喜剧片里面最好笑的是黄子韬……,20,4361
我与世界,2022-07-29 20:29:48,手电筒化身迪迦变身器，请相信光，尬出银河系🌌,30,3805
芊小乙,2022-07-30 00:48:20,就还行吧，最好笑的居然是黄子韬,30,2316
牛奶很忙,2022-07-29 13:23:19,你永远可以相信开心麻花给屌丝捏脚的实力,30,1364
王大根,2022-07-28 20:20:26,确实可以跟《流浪地球》持平，这片子放好莱坞肯定得是Ryan Reynolds、Paul Rudd 或任何一个Chris 主演，咱国没有好笑的中年帅哥，能兜起几十亿票房的也只有沈腾了。,30,660
澪,2022-07-31 12:33:07,很讨厌这种牺牲主义的结局，现在已经恐一些跟太空有关的片了，太空片的英雄主义就是舍小我成就大我，真是够了。。。。然后前面的梗也都是烂梗，举一个例子：就喝水被烫这个搞笑吗？还重复了两次？每到这种烂梗电影院里发出条件反射般的干笑，我都觉得生理不适，怎么现在吃屎大家都愿意笑着吃，真是青蛙煮好了只配吃屎了,30,1094
NJ安可,2022-07-30 17:06:31,我承认我笑了几次，但每一次我都以为是一个引子，即将迎来一连串的大招，结果，都是点到为止，而且掉凳的笑点居多，感觉编剧功力不足。,30,753
如小果,2022-07-31 00:37:51,《独孤月在月球的三年，治疗了地球人的精神内耗》,40,4838
KFCharlie,2022-08-03 11:44:53,其实开头的创意都挺好，第一幕的走向也愈发荒诞。一人一只大袋鼠什么鬼？ 中间袋鼠雪橇算是这个意思了。但最后的牺牲拯救，真的没必要。不如让袋鼠一顿乱按，把π给炸了。荒诞拯救世界。,30,473
IoU,2022-07-30 21:26:06,音乐特效画面都一流。故事弱，英雄主义没有流浪地球有说服力和感染力。导演能力一般，独角戏和群像戏拍的都挺干瘪的。煽情过多，节奏也差。包袱和梗没啥意思。沈腾演技没的说，就是胖的有点油了，显得舔狗舔的有点猥琐了，马丽演技单一，hold不住冷面心热的女上司。群像里除了致敬流浪地球的兄妹，一个有台词的女角色都没有。呵呵。让我真心发笑的点只有给袋鼠配音那一处，剩下都不是真的好笑。,30,334
壹安²,2022-07-29 11:28:57,磕幻喜剧哈哈哈哈哈哈，我竟然磕到了沈马这两张老脸？最后…沈腾炸的是国产科幻封了3年的大门。,40,5561
PardonT,2022-07-30 18:23:37,什么时候单恋能不表现得像变态的性骚扰…,20,3345
恩哼,2022-07-29 11:36:03,国产电影真的把观众当傻子了,10,7469
斯刀普,2022-07-29 13:17:38,把所有好评的评论的都赞了一遍，还是那句话，喜剧片的目的就是让人开怀大笑，仅此而已，就好像当初本山大叔的小品一样，你说他有什么特别深的内核嘛？这些人非得鸡蛋里面挑骨头，无病呻吟，你们要挖内核就不该看这种类型的电影，没人把观众当傻子，好看就是好看，最后市场能说明问题，这些自诩着审美高的人别来沾边儿！,50,1951
放开那个西红柿,2022-07-29 11:15:19,笑点不错，但不是全篇的笑点，断断续续的，算是轻喜剧吧。也有紧张和泪点，但我觉得并不突兀。整个故事完整性很高，冲突来的有理有据，当然也有幻想和无厘头的成分，但并不出戏，整体而言我觉得是非常值得去电影院看的片子。,40,5978
angelfish,2022-07-31 07:45:56,其实很喜欢前半段的设定——当一个人被“组织”遗弃后，组织发现他意外地没有身亡，竟然想利用他来树典型，为此不惜抹杀他自己发声的机会（配音），并设法搞定不相信的群众——往这条线走下去就是黑色版的《楚门的世界》啊！我们真要拍出接近世界级的喜剧吗？但我们都知道做不到，那让主角就像《火星救援》样，克服各种困难后滥一点地温情搞笑地回地球也好，可是下半段为了上升意义，强行让组织给他又派了个拯救人类的任务牺牲了！这简直是二次利用，榨尽价值啊！而可怕的是，屏幕外的观众都很感动，就是他们默认，这样是ok的。。。,20,1313
lucky girl,2022-07-29 11:27:21,是喜剧片，也是爱情片，还是科幻片，灾难片；有大制作，也有小温情；笑点不多，但也可以；有些画面是真的很美，很喜欢。一语概之，值回票价。沈马组合，这次在我的期待之上。,40,5003
张张,2022-07-29 11:59:33,黄子韬一摘假发我喷了，哈哈哈哈哈哈，以后往谐星发展吧，感觉贼有前途,50,983
陀螺凡达可,2022-07-29 22:51:27,比以前所有麻花作品加起来都要更像一部成熟商业电影，宁愿这样的电影每年来一打都不想再看到一部什么西红柿李茶夏洛特。多加一星支持麻花继续朝这个方向做下去，不要因为部分观众突然笑不出来了又继续去做那些粗制滥造的小品段子长视频（当然舔番茄酱的设计大可不必,40,1280
翻滚吧！蛋堡,2022-07-29 12:02:23,喜剧不好笑，科幻不硬核，闹剧一场还要上拯救人类的价值，全程尬出星际的那种烂…,20,1843
晚不安,2022-07-30 18:21:42,这不是还在“给屌丝捏脚”吗？很难见到这样如此具有服务精神的电影公司了。以悲剧结尾，更是给男人做足了精神大保健——在为英雄奏响的凯歌中，“楚门秀”上直播的所有不适都不过是恼人的杂音。开心麻花的格局也就这样了，哪怕拍到月球上，男人活下去的意义还是“找一个母的，生一窝小的”。《流浪地球》的高概念是安土重迁，《独行月球》最震撼我的一个段落是月球灵堂，这或许就是科幻片在此地的特色道路吧。这年头的电影市场，不是主旋律就是开心麻花，动不动搞排片碾压，我们的观众是不是太可悲了一点。,20,897
