用户名,评论时间,评论内容,评分,赞同数,情感
周宇勋,2022/2/14 10:01,对于片名超过八个字的国产爱情电影，用「十颗星-片名字数=影片质量」 这个公式换算，目前看来还是比较客观准确的。（参考《比悲伤更悲伤的故事》《以年为单位的恋爱》《给十九岁的我自己》等）,20,1722,0
陳顏,2022/2/14 23:26,继许光汉《你的婚礼》柯佳嬿《你的情歌》，施柏宇终于以《你的世界》成功和凤南小队汇合。,20,1438,0
Estrella,2022/2/15 13:19,我只能说比隔壁的好看,40,445,1
该用户己注销,2022/2/14 10:21,“男神”这个词不是上世纪的吗？？,20,345,0
科林,2022/2/14 10:15,可可爱爱、傻了吧唧的情人节特供奇幻小品。前后矛盾无逻辑、表演干煸不来电，反正该有的毛病都有。割情侣韭菜进影院提供个和节日关联的片应应景而已，别强求太多~（或许能吸引正被996摧残的打工仔们，但焦迈奇的男粉就别进来了，他全程就躺着……）,20,281,0
阿暖,2022/2/14 23:35,没有解决两个重要问题：女主为啥这么爱男二，以及男主为啥会喜欢女主。中间通感的部分还比较有意思，但是占比太少太少了。前面拖，后面狗血。施柏宇还是蛮帅的。,20,95,0
ocean,2022/2/15 11:56,既然你已经有情人了，就罚你看烂片吧,10,526,0
牛仔马洛,2022/2/14 20:06,论爱情片男女主讨喜的重要性，就单纯磕得好开心,40,269,1
一翊,2022/2/15 9:39,故事很简单，在中国的女主和在德国的男主因为女主头部意外撞击，两人的脑电波达到同频，双放的味觉触觉等感官互通，一方冷对方需要穿棉袄，一方喝咖啡对方也睡不着！如果有一方心跳超过100了，就可以控制对方！设定非常有趣，非常适合情人节去看的电影，和喜欢的人一起看可以收获双份快乐！,30,365,1
银敏悲,2022/2/14 11:49,长发的周依然渐渐有点白百何的感觉了……看新浪扫楼的视频，头发渐稀，保护好自己的发际线啊……,20,58,0
韩程,2022/3/18 7:28,"这是电影《你眼中的世界》翻拍?
设定又是女主傻白……国产有个神奇之处，傻白女主含量奇高…",20,28,0
屋檐下的猫,2022/2/14 14:34,奇怪的设定，女主奇怪的三观,20,52,0
突然粉碎,2022/2/14 22:14,这么有才华的两个人，为什么没早点错过彼此，失联之后俩人都过得更好，变得更优秀了，不看结局会觉得是一部有女性意识的劝分片,20,20,0
子皿与舟,2022/2/14 15:25,情人节特供，两星半。抓住了一个好概念，呈现效果却勉勉强强。想硬往轻喜剧上去但没轻起来，结尾拉垮。周依然演技在线，在此片中但却有种偷穿了大人衣服的拧巴感。,30,21,1
F,2022/2/14 20:21,施柏宇好帅啊～,30,26,1
蛋蛋秀,2022/2/14 10:08,这剧情跟《你眼中的世界》也太像了，没看到翻拍信息，有买版权吗？,10,400,0
某茶君,2022/3/25 1:28,片名去掉最后四个字，就是我对这部电影的看法。,20,9,0
菠萝糖,2022/2/14 17:00,很难想象这是一个女导演拍出来的东西。是真的没有一丁点儿生活啊。,20,26,0
夏日白书,2022/2/14 15:53,没想到21世纪了，中国的爱情片还拍的如此烂梗，各种偶遇和错过的戏码毫无节制地上演。快餐电影，还硬装文艺片，到处塞满毛姆和《月亮与六便士》；降智爱情，还强行植入女性意识觉醒，反pua情节僵硬而尴尬无比。情人节直接拍施柏宇和周依然甜蜜恋爱都比这好看，何必呢？,10,230,0
喜悦之地,2022/3/28 20:52,这个剧本明显比同档期的《不要忘记我爱你》要成熟一些，不过还是有些影响观感的地方。还是要推荐恋爱中的小女生们看看，男二是个标准的渣男,30,1,1
酒神,2022/3/16 20:15,看完觉得你的名字真牛逼,20,3,0
cloudy0210,2022/3/16 20:23,给男主角加多0.5颗星。剧情太一般了。节奏也太缓慢了。而且，最终强行HE什么鬼…,30,4,1
mpor2,2022/6/3 23:58,哦～,30,2,1
Panda的影音,2022/3/20 0:20,虽然这个奇幻设定起初让我觉得有点意思，但随后的故事发展却时常令我怀疑其合理性。本来感觉这部施柏宇主演的2022年《好想去你的世界爱你》可能会像许光汉主演的2021年《你的婚礼》、柯佳嬿主演的2020年《你的情歌》那样个人观感好于豆瓣低分带来的预期，哪知后面越加抓马乃至狗血的剧情看得我不满中略带嫌弃，也就成了《想见你》三人组三部“你的”电影中整体观感垫底的一部……去看了豆友短评提到的《你眼中的世界》更是加深了对本片的失望。,20,2,0
晚不安,2022/2/14 19:11,国产爱情片现在的摆烂程度真是令人震惊，首先是抄奇幻设定离地三尺，然后写一些脑袋里不缠着裹脚布都写不出来的情节，最后黔驴技穷地加上遗憾错过和久别重逢的戏码——中学生都看厌了的叙事弧线。是的，这就构成了电影的全部内容。以后情人节千万不要花钱到电影院找罪受了，躺床上刷俩小时劝分组都比看这片有意思。,10,172,0
阿尔法,2022/3/24 22:50,网友奔现,30,0,1
淋,2022/2/15 19:52,起码足够讨喜的主演,30,27,1
黄悦_,2022/3/28 20:12,情人节档就这水平？用别的电影的创意 加点不感人煽不了情的桥段来包装 唉 4.5分也不抱什么期望 但也别那么水……,20,0,0
S,2022/2/14 14:29,我国电影工业的发展已经从预告片好看就可以到今天只要会取片名了……,10,182,0
我模糊了,2022/2/14 11:36,好土，而且也没觉得他们有多懂彼此，爱情的产生毫无由来。,10,170,0
消灭童年阴影,2022/2/14 21:14,设定破破烂烂毫无铺垫，但接受设定以后的剧情可以看。看完以后觉得人很可怜，想要被爱是因为太想被理解和陪伴.....渴望一个共生的不灭的联结。。,20,5,0
