用户名,评论时间,评论内容,评分,赞同数
山人阿苍苍,2022-06-03 20:39:05,谢苗给我红！！！,40,843
芦哲峰,2022-06-05 15:42:50,目中无人，心有公道。目中无人者，瞎；心有公道者，侠。网大瞎侠，小成本精品武侠，动作和台词都挺干脆，不差。,30,869
海边的曼彻斯特,2022-06-04 15:07:19,质量这么高直接可以上院线了,40,600
胡天柒月,2022-06-03 15:49:30,制作还行，但是这个故事真是简单到简陋，如何拿到投资？,30,613
阿彪在哪,2022-06-15 00:27:01,"网大的局限与极限。
美术组持续输出。
中式英雄主义的再放送。
可以看出有在认真的做一样事，可多半又受限于投资和平台在故事和质感上带来的无法避免的粗糙。",30,183
第七大陸,2022-06-03 12:56:46,一个混着John Wick味道的中式武侠，喝了人家一坛酒就得还人家一个公道。网大受限于成本但非常聪明的选择了小场景+灯光的设计，几场打斗谢苗武打的基础可以保证凌厉。导演是之前《奇门遁甲》的编剧，有几场拷打的戏还挺有尺度的，没想到网大能到如此质感，短小精悍足以让一众玩票的院线片汗颜。,40,492
马史,2022-06-06 11:16:28,谢苗不红 天理难容,40,411
碎碎念,2022-07-11 17:31:44,喜剧片他问你为什么没剧情，恐怖片他问你为什么没剧情，动作片他问你为什么没剧情，但为啥故事片他不问你为啥没喜剧没恐怖没动作呢？豆瓣er就是这个贱毛病，一帮不懂啥叫类型片的沙雕想要又要还要…网大拍成这样，干净利索镜头语言还到位，要什么自行车？一个团队你明明看到他的诚意了，你还问，你拍的还不如黑泽明好看呀！我都替导演心累…为了一碗酒的恩情，在乱世中行侠义道，这不就是中国传统武侠的浪漫吗？哪单薄了？,50,318
居无间,2022-06-03 12:55:59,放在网大维度考量算是精品了。它也是如今难得的能做出武侠风范的国产片。动作场面有氛围上的铺陈，场景、构图、打光都有雕琢感；具体到武打设计，走的是偏写实的硬派路子，尤其是错骨手，招式起落都见细节，断骨一幕好评。成瞎子为了一壶好酒和一个公道，便毅然踏上了锄强扶弱之路，不问生死，不求功名。侠义之心，因其质朴才显珍贵。在国产武侠式微的当下，这样的作品太值得鼓励了。,40,375
陈哈,2022-06-06 09:53:24,不想说打击的话，也不想昧着良心硬捧。最大感触是，好想念徐浩峰啊，不知道他的作品还能不能被看到，你是一个门派的全部未来，一个人，没有同类——想念徐浩峰的作品。,30,68
